Objective;Wavelength;Zoom;ETL-Left-Offset;ETL-Left-Amp;ETL-Right-Offset;ETL-Right-Amp
1x;488 nm;2x;3.437;0.39;3.8550000000000004;0.34
1x;488 nm;5x;3.5279999999999996;0.15;3.6950000000000003;0.3
1x;488 nm;10x;3.533;0.08;3.7510000000000003;0.16999999999999998
1x;647 nm;2x;3.437;0.39;3.7049999999999996;0.91
1x;647nm;5x;3.5279999999999996;0.15;3.296;0.15
1x;647 nm;10x;3.533;0.08;3.411;0.17
