400	1.97154	400	1.06772	

405	2.01613	405	0.963545	

410	2.06114	410	0.868673	

415	2.03407	415	0.924554	

420	1.92262	420	1.19505	

425	1.7532	425	1.76521	

430	1.58248	430	2.61526	

435	1.43089	435	3.70772	

440	1.29736	440	5.04241	

445	1.17773	445	6.64159	

450	1.06901	450	8.53084	

455	0.967988	455	10.7649	

460	0.88294	460	13.0936	

465	0.81882	465	15.1768	

470	0.76813	470	17.0557	

475	0.724501	475	18.8582	

480	0.686594	480	20.5781	

485	0.65636	485	22.0618	

490	0.624363	490	23.7485	

495	0.597497	495	25.264	

500	0.574569	500	26.6336	

505	0.557042	505	27.7305	

510	0.54602	510	28.4433	

515	0.539811	515	28.8529	

520	0.535077	520	29.1691	

525	0.525874	525	29.7938	

530	0.512439	530	30.7299	

535	0.497396	535	31.8129	

540	0.480502	540	33.0749	

545	0.465476	545	34.2392	

550	0.453941	550	35.1608	

555	0.435057	555	36.7234	

560	0.416908	560	38.2906	

565	0.40159	565	39.6652	

570	0.385722	570	41.1413	

575	0.370167	575	42.6416	

580	0.357289	580	43.9249	

585	0.348488	585	44.8241	

590	0.342608	590	45.4352	

595	0.338373	595	45.8804	

600	0.332226	600	46.5344	

605	0.318722	605	48.0041	

610	0.297638	610	50.392	

615	0.276515	615	52.9036	

620	0.260292	620	54.9172	

625	0.248606	625	56.4149	

630	0.238776	630	57.7064	

635	0.230424	635	58.8269	

640	0.223603	640	59.7582	

645	0.217207	645	60.6448	

650	0.210783	650	61.5485	

