400	99.09455

405	99.30897

410	99.41178

415	99.42512

420	99.48829

425	99.45681

430	99.49753

435	99.46657

440	99.46144

445	99.45548

450	99.48819

455	99.4269

460	99.47493

465	99.47726

470	99.47505

475	99.48698

480	99.47417

485	99.51988

490	99.48411

495	99.54526

500	99.47903

505	99.58119

510	99.51866

515	99.57662

520	99.55083

525	99.56946

530	99.56941

535	99.5772

540	99.59082

545	99.56772

550	99.60841

555	99.56984

560	99.60475

565	99.57743

570	99.6429

575	99.59591

580	99.64868

585	99.60434

590	99.63216

595	99.61327

600	99.62867

605	99.6789

610	99.62693

615	99.67062

620	99.64282

625	99.67451

630	99.64124

635	99.68866

640	99.65767

645	99.73028

650	99.67206
