400	0.0308439	

405	0.0301062	

410	0.0265969	

415	0.0270985	

420	0.0283383	

425	0.0315397	

430	0.037339	

435	0.0442252	

440	0.0554522	

445	0.0671919	

450	0.0788419	

455	0.0938533	

460	0.1123	

465	0.133585	

470	0.159163	

475	0.183502	

480	0.208313	

485	0.238102	

490	0.271774	

495	0.309967	

500	0.349265	

505	0.382728	

510	0.41483	

515	0.448755	

520	0.478097	

525	0.523583	
	
530	0.580219	

535	0.642027	

540	0.704927	
	
545	0.743786	
	
550	0.765253	

555	0.880662	
	
560	1.01687	
	
565	1.12582	

570	1.22347	

575	1.3209	

580	1.40762	

585	1.49175	
586	1.51251	

590	1.58674	

595	1.69809	

600	1.81992	

605	1.98221	

610	2.17587	

615	2.38005	

620	2.56917	

625	2.73116	

630	2.88865	

635	3.03906	

640	3.16883	

645	3.30366	

650	3.46725	

