400	0.212386	400	61.3217	
401	0.213119	401	61.2183	
402	0.213966	402	61.099	
403	0.215079	403	60.9427	
404	0.215933	404	60.8229	
405	0.216880	405	60.6904	
406	0.217747	406	60.5694	
407	0.218367	407	60.4829	
408	0.218949	408	60.402	
409	0.219367	409	60.3439	
410	0.219473	410	60.3291	
411	0.219424	411	60.336	
412	0.219051	412	60.3878	
413	0.218066	413	60.5249	
414	0.216954	414	60.68	
415	0.215441	415	60.8918	
416	0.213423	416	61.1754	
417	0.211128	417	61.4995	
418	0.208574	418	61.8623	
419	0.205612	419	62.2856	
420	0.202412	420	62.7463	
421	0.199128	421	63.2226	
422	0.195345	422	63.7757	
423	0.191446	423	64.3508	
424	0.187789	424	64.895	
425	0.184004	425	65.463	
426	0.180510	426	65.9918	
427	0.177405	427	66.4652	
428	0.174401	428	66.9267	
429	0.171150	429	67.4295	
430	0.168316	430	67.871	
431	0.165298	431	68.3443	
432	0.162794	432	68.7395	
433	0.160513	433	69.1014	
434	0.158363	434	69.4443	
435	0.155875	435	69.8434	
436	0.153496	436	70.2269	
437	0.150963	437	70.6377	
438	0.148631	438	71.0181	
439	0.146427	439	71.3794	
440	0.144526	440	71.6925	
441	0.142338	441	72.0546	
442	0.139995	442	72.4444	
443	0.137501	443	72.8617	
444	0.135074	444	73.2699	
445	0.132874	445	73.6421	
446	0.130515	446	74.0431	
447	0.128407	447	74.4034	
448	0.126112	448	74.7976	
449	0.123899	449	75.1797	
450	0.121525	450	75.5918	
451	0.119130	451	76.0099	
452	0.116807	452	76.4175	
453	0.114674	453	76.7938	
454	0.112525	454	77.1746	
455	0.110460	455	77.5426	
456	0.108499	456	77.8934	
457	0.106392	457	78.2723	
458	0.10472	458	78.5743	
459	0.102925	459	78.8997	
460	0.101251	460	79.2044	
461	0.0999923	461	79.4342	
462	0.0983776	462	79.7301	
463	0.0970122	463	79.9812	
464	0.0957499	464	80.214	
465	0.0944584	465	80.4529	
466	0.0931711	466	80.6917	
467	0.0920166	467	80.9065	
468	0.0908501	468	81.1241	
469	0.0898351	469	81.3139	
470	0.0889108	470	81.4872	
471	0.0878825	471	81.6803	
472	0.0866799	472	81.9068	
473	0.0857943	473	82.074	
474	0.0850045	474	82.2234	
475	0.0842597	475	82.3645	
476	0.0834365	476	82.5208	
477	0.0826987	477	82.6611	
478	0.0818052	478	82.8314	
479	0.0808800	479	83.008	
480	0.0800101	480	83.1744	
481	0.0792623	481	83.3178	
482	0.0786121	482	83.4426	
483	0.0780202	483	83.5564	
484	0.0774249	484	83.671	
485	0.0768453	485	83.7828	
486	0.0760391	486	83.9384	
487	0.0754086	487	84.0604	
488	0.0746900	488	84.1996	
489	0.0741382	489	84.3066	
490	0.0736413	490	84.4032	
491	0.0728733	491	84.5525	
492	0.0724767	492	84.6298	
493	0.0720036	493	84.722	
494	0.0712782	494	84.8637	
495	0.0708212	495	84.953	
496	0.0704688	496	85.022	
497	0.0699332	497	85.1269	
498	0.0696911	498	85.1744	
499	0.0693628	499	85.2388	
500	0.0689909	500	85.3118	
501	0.0684344	501	85.4212	
502	0.0681447	502	85.4782	
503	0.0678982	503	85.5267	
504	0.0675782	504	85.5898	
505	0.0673399	505	85.6367	
506	0.0671761	506	85.669	
507	0.0668658	507	85.7303	
508	0.0666418	508	85.7745	
509	0.0665740	509	85.7879	
510	0.0662675	510	85.8485	
511	0.0660973	511	85.8821	
512	0.0659737	512	85.9066	
513	0.0659285	513	85.9155	
514	0.0657613	514	85.9486	
515	0.0657073	515	85.9593	
516	0.0656803	516	85.9646	
517	0.0655091	517	85.9985	
518	0.0653640	518	86.0272	
519	0.0650237	519	86.0947	
520	0.0645026	520	86.198	
521	0.0640832	521	86.2813	
522	0.0635429	522	86.3887	
523	0.0631552	523	86.4659	
524	0.062546	524	86.5873	
525	0.0622228	525	86.6517	
526	0.0617744	526	86.7412	
527	0.0612568	527	86.8447	
528	0.0608458	528	86.9269	
529	0.0604649	529	87.0032	
530	0.0599312	530	87.1102	
531	0.0593536	531	87.2261	
532	0.0590304	532	87.291	
533	0.0585952	533	87.3786	
534	0.058366	534	87.4247	
535	0.0578028	535	87.5381	
536	0.0573903	536	87.6213	
537	0.0571076	537	87.6783	
538	0.0566586	538	87.769	
539	0.0563546	539	87.8305	
540	0.0559710	540	87.9081	
541	0.0558443	541	87.9338	
542	0.0556207	542	87.9791	
543	0.0554796	543	88.0076	
544	0.0554053	544	88.0227	
545	0.0554594	545	88.0117	
546	0.0554675	546	88.0101	
547	0.0556537	547	87.9724	
548	0.0556378	548	87.9756	
549	0.0555335	549	87.9967	
550	0.0552988	550	88.0443	
551	0.054861	551	88.1331	
552	0.0542908	552	88.2489	
553	0.0535865	553	88.3921	
554	0.0528339	554	88.5454	
555	0.0519711	555	88.7215	
556	0.0512290	556	88.8732	
557	0.0504804	557	89.0266	
558	0.0498175	558	89.1626	
559	0.0491693	559	89.2957	
560	0.0486501	560	89.4025	
561	0.0482174	561	89.4917	
562	0.0477531	562	89.5874	
563	0.0474481	563	89.6503	
564	0.0470009	564	89.7427	
565	0.0466253	565	89.8203	
566	0.0460605	566	89.9372	
567	0.0458236	567	89.9863	
568	0.0454112	568	90.0718	
569	0.0450656	569	90.1435	
570	0.0445802	570	90.2443	
571	0.0441436	571	90.3351	
572	0.0438591	572	90.3943	
573	0.0435377	573	90.4612	
574	0.0432151	574	90.5284	
575	0.0428842	575	90.5974	
576	0.0426185	576	90.6529	
577	0.0423592	577	90.707	
578	0.0419906	578	90.784	
579	0.0417305	579	90.8384	
